start_0,end_0,voltage_0,start_1,end_1,voltage_1,start_2,end_2,voltage_2,start_3,end_3,voltage_3,start_4,end_4,voltage_4,start_5,end_5,voltage_5
17:24:22,17:25:27,3000,11:39:42,11:40:56,4000,20:48:00,20:48:31,4000,12:22:21,12:23:22,4000,19:49:50,19:50:23,4000,20:20:37,20:21:09,4000
17:26:41,17:27:41,4000,11:41:11,11:42:21,4200,20:48:46,20:49:17,4200,12:23:36,12:24:49,4200,19:50:37,19:51:18,4200,20:21:27,20:21:58,4200
17:28:12,17:29:39,4500,11:42:39,11:43:46,4300,20:49:29,20:50:22,4300,12:24:57,12:26:03,4300,19:51:28,19:52:05,4300,20:22:07,20:22:39,4300
17:30:01,17:31:18,4750,11:43:57,11:44:57,4400,20:50:33,20:51:20,4400,12:26:11,12:27:12,4400,19:52:15,19:52:45,4400,20:22:49,20:23:21,4400
17:31:48,17:33:05,5000,11:45:09,11:46:03,4500,20:51:30,20:52:33,4500,12:27:21,12:28:21,4500,19:52:53,19:53:23,4500,20:23:30,20:24:02,4500
17:33:28,17:35:06,5100,11:46:12,11:47:22,4600,20:52:42,20:53:35,4600,12:28:36,12:29:37,4600,19:53:32,19:54:04,4600,20:24:12,20:24:44,4600
17:35:19,17:37:17,5200,11:48:15,11:49:21,4700,20:53:45,20:54:16,4700,12:29:47,12:30:47,4700,19:54:13,19:54:46,4700,20:24:55,20:25:26,4700
17:37:29,17:41:38,5250,11:49:34,11:50:40,4800,20:54:27,20:55:03,4800,12:30:56,12:32:13,4800,19:54:56,19:56:08,4800,20:25:37,20:26:12,4800
17:41:49,17:43:07,5300,11:50:52,11:51:55,4900,20:55:13,20:55:49,4900,12:32:24,12:33:26,4900,19:56:19,19:57:19,4900,20:26:22,20:26:53,4900
17:43:21,17:44:52,5350,11:52:06,11:53:16,5000,20:56:03,20:56:34,5000,12:33:35,12:34:36,5000,19:57:30,19:58:01,5000,20:27:03,20:27:37,5000
17:45:09,17:46:55,5400,11:53:26,11:54:35,5100,20:56:47,20:57:18,5100,12:34:44,12:35:44,5100,19:58:11,19:58:43,5100,20:27:55,20:28:28,5100
17:47:08,17:49:27,5450,11:54:46,11:55:39,5200,20:57:29,20:58:00,5200,12:36:17,12:37:19,5200,19:58:51,19:59:21,5200,20:28:38,20:29:08,5200
17:49:41,17:51:13,5500,11:55:50,11:56:54,5300,20:58:11,20:58:46,5300,12:37:27,12:38:29,5300,19:59:29,20:00:00,5300,20:29:18,20:29:51,5300
17:51:27,17:53:25,5550,11:57:06,11:58:15,5400,20:59:05,20:59:37,5400,12:38:37,12:39:38,5400,20:00:09,20:00:39,5400,20:30:01,20:30:33,5400
17:53:38,17:55:39,5600,11:58:25,11:59:27,5450,21:00:03,21:00:35,5450,12:39:45,12:40:47,5450,20:00:48,20:01:28,5450,20:30:40,20:31:11,5450
17:55:51,17:57:37,5650,11:59:35,12:00:40,5500,21:00:56,21:01:33,5500,12:40:55,12:42:01,5500,20:01:35,20:02:06,5500,20:31:18,20:31:51,5500
17:57:54,17:59:33,5700,12:00:55,12:01:40,5550,21:01:51,21:02:27,5550,12:42:09,12:43:10,5550,20:02:15,20:02:46,5550,20:32:04,20:32:36,5550
17:59:47,18:01:18,5750,12:01:54,12:02:50,5600,21:02:49,21:03:19,5600,12:43:16,12:44:19,5600,20:02:53,20:03:25,5600,20:32:43,20:33:19,5600
18:01:35,18:03:18,5800,12:02:57,12:03:59,5650,21:04:00,21:04:33,5650,12:44:26,12:45:27,5650,20:03:32,20:04:03,5650,20:33:27,20:33:58,5650
18:03:30,18:05:10,5850,12:04:12,12:05:14,5700,21:05:22,21:06:02,5700,12:45:33,12:46:35,5700,20:04:11,20:04:42,5700,20:34:09,20:34:40,5700
18:05:23,18:07:14,5900,12:05:21,12:06:24,5750,21:07:28,21:08:24,5750,12:46:42,12:47:43,5750,20:04:49,20:05:30,5750,20:34:48,20:35:19,5750
18:07:26,18:08:55,5950,12:06:31,12:07:35,5800,21:10:10,21:10:45,5800,12:47:49,12:48:52,5800,20:05:41,20:06:11,5800,20:35:27,20:36:00,5800
18:09:08,18:10:34,6000,12:07:43,12:08:44,5850,,,,12:48:59,12:50:02,5850,20:06:21,20:06:52,5850,20:36:08,20:36:41,5850
,,,12:08:53,12:09:58,5900,,,,12:50:09,12:51:11,5900,20:07:01,20:07:33,5900,20:36:53,20:37:23,5900
,,,12:10:04,12:11:05,5950,,,,12:51:18,12:52:23,5950,20:08:04,20:08:36,5950,20:37:31,20:38:02,5950
,,,12:11:12,12:12:28,6000,,,,12:52:29,12:53:35,6000,20:08:57,20:09:29,6000,20:38:11,20:38:52,6000
