RunNumber,EventNumber,LumiBlock,TimeStamp,TimeStampNS,BCID,extL1ID,triggerType,mu_pt,mu_eta,mu_phi,mu_E,mu_charge
479103,0,330,1719498240,101667670,738,4261552364,132,[],[],[],[],[]
479103,0,334,1719498332,63117550,3387,268702630,132,[],[],[],[],[]
479103,0,334,1719498334,312750875,742,285320879,132,[15.580530166625977],[1.7431325912475586],[1.2235428094863892],[45.88626480102539],[-1]
479103,0,337,1719498374,581357570,3343,436334815,132,[3.058044195175171],[0.8435277342796326],[-0.0940956249833107],[4.213387966156006],[-1]
479103,0,337,1719498376,519266430,2486,436446668,132,[3.2814557552337646],[0.9439125061035156],[-0.2779774069786072],[4.856259346008301],[1]
479103,0,507,1719503682,881519545,389,1795250512,132,"[4.239921569824219, 2.7894508838653564]","[-2.2485885620117188, 0.650701642036438]","[-1.040608525276184, -0.730890691280365]","[20.309289932250977, 3.4027693271636963]","[-1, -1]"
479103,0,509,1719503694,873795115,988,1845759350,132,[],[],[],[],[]
479103,0,510,1719503707,39315155,2375,1895843008,132,"[70.22257232666016, 6.826351642608643, 6.211569786071777, 3.4099018573760986]","[-2.5351827144622803, -1.8497116565704346, -2.136655807495117, 2.26631498336792]","[1.688507318496704, -2.7673051357269287, -2.848653793334961, 2.5759425163269043]","[445.842529296875, 22.238008499145508, 26.676137924194336, 16.61932945251465]","[-1, -1, 1, -1]"
479103,0,510,1719503708,647513495,2371,1895985593,132,"[3.8927130699157715, 2.8443400859832764, 3.028036117553711]","[-2.3193161487579346, 1.6841033697128296, -0.2103557586669922]","[0.610752522945404, 1.963965892791748, -0.47237953543663025]","[19.9836368560791, 7.926783084869385, 3.097080945968628]","[1, -1, -1]"
479103,0,510,1719503711,57887130,1884,1896198771,132,[3.518674612045288],[-2.193354845046997],[2.0618133544921875],[15.969470024108887],[-1]
479103,0,510,1719503712,707304715,209,1912679801,132,"[3.8052985668182373, 2.1757700443267822]","[1.7696826457977295, 1.7548409700393677]","[-2.0953197479248047, -1.9061188697814941]","[11.491303443908691, 6.479720115661621]","[-1, 1]"
479103,0,511,1719503728,994831935,1750,1963128329,132,[4.971543788909912],[-2.44944429397583],[0.2522057890892029],[29.004802703857422],[1]
479103,0,511,1719503731,394994880,1889,1963340617,132,[2.9729909896850586],[1.4474154710769653],[1.5995985269546509],[6.671170234680176],[1]
479103,0,511,1719503735,387162210,1635,1980030016,132,"[4.517691612243652, 3.1226768493652344]","[-1.8216571807861328, -1.9298913478851318]","[1.3791049718856812, 1.1311759948730469]","[14.330172538757324, 10.9828462600708]","[1, 1]"
479103,0,512,1719503750,708808920,282,2030393765,132,"[2.806610345840454, 4.307908535003662]","[-0.43818894028663635, -0.9177722930908203]","[-2.3441736698150635, 1.289042592048645]","[3.0822088718414307, 6.254068374633789]","[1, 1]"
479103,0,513,1719503778,598373560,910,2130874280,132,"[71.40949249267578, 5.695670127868652, 3.0570762157440186]","[-1.6342391967773438, -0.04736350104212761, -1.951529860496521]","[-1.49515700340271, -0.08485156297683716, 3.0258445739746094]","[189.97276306152344, 5.703038692474365, 10.977712631225586]","[-1, 1, 1]"
479103,0,514,1719503795,259247015,548,2181355347,132,"[15.074637413024902, 1.5524463653564453]","[0.8533313274383545, 2.52047061920166]","[-1.8498520851135254, -1.969470500946045]","[20.904624938964844, 9.714906692504883]","[-1, -1]"
479103,0,515,1719503844,90274900,2184,2365813157,136,"[38.43254089355469, 48.96315002441406]","[-1.9202113151550293, -0.8058785796165466]","[0.8649555444717407, -3.044100761413574]","[133.91775512695312, 65.74186706542969]","[-1, 1]"
479103,0,515,1719503844,999778700,1569,2365894734,132,"[6.915862560272217, 4.227525234222412]","[1.0993399620056152, -1.4182853698730469]","[-2.1621525287628174, 2.0562214851379395]","[11.533635139465332, 9.242316246032715]","[1, 1]"
479103,0,516,1719503848,215328625,3264,2382511120,132,"[6.0655341148376465, 3.1629223823547363]","[0.3847981095314026, -1.796420693397522]","[3.123640298843384, -0.265398770570755]","[6.521018981933594, 9.7960205078125]","[1, -1]"
479103,0,516,1719503856,854376185,1244,2415946767,132,"[2.6042063236236572, 2.28977108001709]","[-1.6196198463439941, 2.572126626968384]","[2.6190333366394043, 1.8092013597488403]","[6.835742950439453, 15.078527450561523]","[1, -1]"
479103,0,528,1719504229,184004280,750,2567215912,132,"[5.008184432983398, 2.8183865547180176]","[-1.6909856796264648, 0.44797244668006897]","[-1.539299488067627, -1.2638765573501587]","[14.046258926391602, 3.1077401638031006]","[-1, 1]"
479103,0,528,1719504229,276898805,3051,2567224242,132,"[4.544562339782715, 2.517754316329956]","[1.9213933944702148, 2.1262266635894775]","[2.482468605041504, 2.9192755222320557]","[15.853768348693848, 10.704075813293457]","[1, -1]"
479103,0,528,1719504230,911927300,2044,2583700372,132,"[85.55043029785156, 5.753628253936768, 3.2105319499969482, 2.9072508811950684, 2.8131368160247803, 1.739605188369751]","[2.1861188411712646, 1.0256913900375366, 2.376133441925049, 0.3826196491718292, -2.341026782989502, 2.3785510063171387]","[-2.4691481590270996, 1.8699191808700562, 2.883909225463867, -2.8107643127441406, 1.8084471225738525, -0.6432273983955383]","[385.5310363769531, 9.055595397949219, 17.42727279663086, 3.1244544982910156, 14.752650260925293, 9.465731620788574]","[-1, 1, -1, -1, -1, -1]"
